skin_concern,skin_type,home_remedy,chemical_product
Dark Circles,Combinational,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Squalane	Tocopherol	Zinc Oxide	BHA (Beta Hydroxy Acid)	Sodium PCA"
Dark Circles,Combinational,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	Tocopherol	Vitamin C	Tartaric Acid	Carbomer	Sodium Hydroxide"
Dark Circles,Combinational,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	Hydroquinone	Lactic Acid	Caffeine	Ferulic Acid	Kojic Acid"
Dark Circles,Dry,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Benzoyl Peroxide	AHA (Alpha Hydroxy Acid)	Niacinamide	Benzoic Acid	Zinc Oxide"
Dark Circles,Dry,"	Egg White	Honey	Lemon Juice	Oatmeal	Aloe Vera Gel","	Sodium Hydroxide	Avobenzone	Octinoxate	Salicylic Acid	Lactic Acid"
Dark Circles,Dry,"	Kiwi Pulp	Yogurt	Rice Flour	Honey	Rose Water","	Cyclopentasiloxane	Sodium PCA	Ceramides	BHT (Butylated Hydroxytoluene)	Zinc Oxide"
Dark Circles,Dry,"	Apple Pulp	Milk	Honey	Oatmeal	Lemon Juice","	Retinol	Dimethyl Sulfone	Butylene Glycol	Zinc Oxide	Triethanolamine"
Dark Circles,Dry,"	Gram Flour	Orange Juice	Turmeric	Yogurt	Honey","	Zinc Oxide	Titanium Dioxide	Cyclopentasiloxane	Disodium EDTA	Peptides"
Dark Circles,Dry,"	Mango Pulp	Milk Cream	Honey	Rice Flour	Lemon Juice","	Octinoxate	Hyaluronic Acid	Ferulic Acid	Peptides	Ceramides"
Dark Circles,Dry,"	Pomegranate Juice	Honey	Aloe Vera Gel	Milk Cream	Oat Powder","	Carbomer	Panthenol	Azelaic Acid	Benzoyl Peroxide	Benzoic Acid"
Dark Circles,Oily,"	Watermelon Pulp	Honey	Curd	Rice Flour	Lemon Juice","	Salicylic Acid	Ceramides	Hyaluronic Acid	Hydroquinone	Sodium PCA"
Dark Circles,Oily,"	Beetroot Juice	Gram Flour	Turmeric	Yogurt	Honey","	Triethanolamine	Dimethicone	Salicylic Acid	Azelaic Acid	Panthenol"
Dark Circles,Oily,"	Rose Petal Powder	Yogurt	Honey	Lemon Juice	Aloe Vera","	Lactic Acid	Ceramides	Triclosan	Allantoin	Phenoxyethanol"
Dark Circles,Oily,"	Pear Pulp	Oat Flour	Milk	Honey	Rose Water","	Benzoyl Peroxide	Triclosan	Retinol	Propylene Glycol	BHA (Beta Hydroxy Acid)"
Dark Circles,Oily,"	Carrot Juice	Turmeric	Milk Cream	Honey	Oatmeal","	Disodium EDTA	Tocopherol	Gluconolactone	Triethanolamine	Vitamin C"
Dark Circles,Oily,"	Papaya Pulp	Lemon Juice	Milk	Rice Flour	Honey","	BHA (Beta Hydroxy Acid)	Gluconolactone	Titanium Dioxide	Oxybenzone	Glycolic Acid"
Dark Circles,Oily,"	Tomato Juice	Honey	Multani Mitti	Rose Water	Curd","	Caprylic Acid	Benzoic Acid	Phenoxyethanol	Urea	AHA (Alpha Hydroxy Acid)"
Eye Bags,Normal,"	Cucumber Juice	Honey	Aloe Vera	Turmeric	Mint Paste","	Sodium Hydroxide	Salicylic Acid	Lactic Acid	Propylene Glycol	Caffeine"
Eye Bags,Normal,"	Potato Paste	Curd	Honey	Milk Powder	Lemon Juice","	Licorice Extract	Tartaric Acid	Vitamin C	Ethylhexylglycerin	Glycerin"
Eye Bags,Normal,"	Pumpkin Juice	Yogurt	Rice Flour	Honey	Rose Water","	BHA (Beta Hydroxy Acid)	Retinol	Niacinamide	Dimethicone	Octinoxate"
Eye Bags,Normal,"	Coconut Milk	Turmeric	Honey	Rose Petal Powder	Curd","	Peptides	Retinol	Ceramides	Ferulic Acid	Oxybenzone"
Eye Bags,Normal,"	Papaya Juice	Multani Mitti	Milk	Turmeric	Honey","	Avobenzone	Triethanolamine	Butylene Glycol	Glycerin	Dimethicone"
Eye Bags,Normal,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Citric Acid	Octinoxate	Phenoxyethanol	Resveratrol	AHA (Alpha Hydroxy Acid)"
Eye Bags,Normal,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Gluconolactone	Octinoxate	Licorice Extract	Vitamin C	Squalane"
Eye Bags,Sensitive,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Benzoyl Peroxide	Sodium Hydroxide	Disodium EDTA	Butylene Glycol	Caprylic Acid"
Eye Bags,Sensitive,"	Papaya	Banana	Milk	Honey	Oatmeal","	Zinc Oxide	Licorice Extract	BHA (Beta Hydroxy Acid)	Titanium Dioxide	Allantoin"
Eye Bags,Sensitive,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Cyclopentasiloxane	AHA (Alpha Hydroxy Acid)	Caffeine	Allantoin	Caprylic Acid"
Eye Bags,Sensitive,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	Vitamin C	Dimethicone	Licorice Extract	Benzoic Acid	Panthenol"
Eye Bags,Sensitive,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	Tocopherol	Peptides	Tartaric Acid	Propylene Glycol	Retinol"
Eye Bags,Sensitive,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	Niacinamide	Licorice Extract	Vitamin C	Triclosan	Tocopherol"
Eye Bags,Sensitive,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	Ceramides	Butylene Glycol	Lactic Acid	Triethanolamine	Cyclopentasiloxane"
Eye Bags,Combinational,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Benzoic Acid	Benzoyl Peroxide	Allantoin	Hydroquinone	Dimethyl Sulfone"
Eye Bags,Combinational,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	Licorice Extract	Caprylic Acid	Lactic Acid	Resveratrol	Octinoxate"
Eye Bags,Combinational,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	Urea	Hydroquinone	Vitamin C	BHT (Butylated Hydroxytoluene)	Gluconolactone"
Eye Bags,Combinational,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	Zinc Oxide	Peptides	Benzoic Acid	Propylene Glycol	Titanium Dioxide"
Eye Bags,Combinational,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	Vitamin C	Hydroquinone	Butylene Glycol	Tocopherol	Benzoyl Peroxide"
Eye Bags,Combinational,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	Dimethyl Sulfone	Ferulic Acid	BHT (Butylated Hydroxytoluene)	Titanium Dioxide	Licorice Extract"
Eye Bags,Combinational,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	Butylene Glycol	Disodium EDTA	Oxybenzone	Tartaric Acid	Sodium Hydroxide"
Eye Bags,Dry,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Butylene Glycol	Salicylic Acid	Octinoxate	Benzoic Acid	Squalane"
Eye Bags,Dry,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Ferulic Acid	Salicylic Acid	Azelaic Acid	Squalane	Dimethyl Sulfone"
Eye Bags,Dry,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Urea	Cyclopentasiloxane	Hydroquinone	Hyaluronic Acid	Azelaic Acid"
Eye Bags,Dry,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	Peptides	BHT (Butylated Hydroxytoluene)	Benzoic Acid	Caffeine	Retinol"
Eye Bags,Dry,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	Peptides	Triclosan	Avobenzone	Salicylic Acid	Niacinamide"
Eye Bags,Dry,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Triclosan	Phenoxyethanol	Zinc Oxide	Citric Acid	Allantoin"
Eye Bags,Dry,"	Egg White	Honey	Lemon Juice	Oatmeal	Aloe Vera Gel","	AHA (Alpha Hydroxy Acid)	Cyclopentasiloxane	Alpha Arbutin	Tocopherol	Urea"
Eye Bags,Oily,"	Kiwi Pulp	Yogurt	Rice Flour	Honey	Rose Water","	Caprylic Acid	Dimethicone	Disodium EDTA	BHT (Butylated Hydroxytoluene)	Octinoxate"
Eye Bags,Oily,"	Apple Pulp	Milk	Honey	Oatmeal	Lemon Juice","	Niacinamide	Lactic Acid	Peptides	Alpha Arbutin	Dimethyl Sulfone"
Eye Bags,Oily,"	Gram Flour	Orange Juice	Turmeric	Yogurt	Honey","	Oxybenzone	Lactic Acid	Tartaric Acid	Niacinamide	Ferulic Acid"
Eye Bags,Oily,"	Mango Pulp	Milk Cream	Honey	Rice Flour	Lemon Juice","	BHA (Beta Hydroxy Acid)	Benzoic Acid	Licorice Extract	Ethylhexylglycerin	Octinoxate"
Eye Bags,Oily,"	Pomegranate Juice	Honey	Aloe Vera Gel	Milk Cream	Oat Powder","	BHA (Beta Hydroxy Acid)	Allantoin	Ferulic Acid	Zinc Oxide	Dimethyl Sulfone"
Eye Bags,Oily,"	Watermelon Pulp	Honey	Curd	Rice Flour	Lemon Juice","	Gluconolactone	Benzoyl Peroxide	Hydroquinone	Licorice Extract	Resveratrol"
Eye Bags,Oily,"	Beetroot Juice	Gram Flour	Turmeric	Yogurt	Honey","	Tartaric Acid	Triethanolamine	Ethylhexylglycerin	Phenoxyethanol	Benzoic Acid"
Fine Lines Around Eyes,Normal,"	Rose Petal Powder	Yogurt	Honey	Lemon Juice	Aloe Vera","	Urea	Glycolic Acid	Titanium Dioxide	Caffeine	Octinoxate"
Fine Lines Around Eyes,Normal,"	Pear Pulp	Oat Flour	Milk	Honey	Rose Water","	Lactic Acid	Hyaluronic Acid	Zinc Oxide	Urea	Disodium EDTA"
Fine Lines Around Eyes,Normal,"	Carrot Juice	Turmeric	Milk Cream	Honey	Oatmeal","	Ceramides	Dimethyl Sulfone	Panthenol	Resveratrol	Dimethicone"
Fine Lines Around Eyes,Normal,"	Papaya Pulp	Lemon Juice	Milk	Rice Flour	Honey","	Benzoyl Peroxide	Hyaluronic Acid	Ethylhexylglycerin	Triclosan	Licorice Extract"
Fine Lines Around Eyes,Normal,"	Tomato Juice	Honey	Multani Mitti	Rose Water	Curd","	Azelaic Acid	Ceramides	Citric Acid	Carbomer	Glycerin"
Fine Lines Around Eyes,Normal,"	Cucumber Juice	Honey	Aloe Vera	Turmeric	Mint Paste","	Titanium Dioxide	Gluconolactone	Butylene Glycol	Benzoic Acid	Hydroquinone"
Fine Lines Around Eyes,Normal,"	Potato Paste	Curd	Honey	Milk Powder	Lemon Juice","	Retinol	Caffeine	Triclosan	Glycolic Acid	Licorice Extract"
Fine Lines Around Eyes,Sensitive,"	Pumpkin Juice	Yogurt	Rice Flour	Honey	Rose Water","	Salicylic Acid	AHA (Alpha Hydroxy Acid)	Retinol	Dimethicone	BHT (Butylated Hydroxytoluene)"
Fine Lines Around Eyes,Sensitive,"	Coconut Milk	Turmeric	Honey	Rose Petal Powder	Curd","	Licorice Extract	BHT (Butylated Hydroxytoluene)	Caffeine	Glycerin	Avobenzone"
Fine Lines Around Eyes,Sensitive,"	Papaya Juice	Multani Mitti	Milk	Turmeric	Honey","	Allantoin	Resveratrol	Benzoyl Peroxide	Caffeine	Salicylic Acid"
Fine Lines Around Eyes,Sensitive,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Dimethicone	Alpha Arbutin	Oxybenzone	AHA (Alpha Hydroxy Acid)	Squalane"
Fine Lines Around Eyes,Sensitive,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Tocopherol	Niacinamide	Licorice Extract	Vitamin C	Sodium PCA"
Fine Lines Around Eyes,Sensitive,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Licorice Extract	Triethanolamine	Caffeine	Phenoxyethanol	Niacinamide"
Fine Lines Around Eyes,Sensitive,"	Papaya	Banana	Milk	Honey	Oatmeal","	Caffeine	Urea	Triclosan	Cyclopentasiloxane	Titanium Dioxide"
Fine Lines Around Eyes,Combinational,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Cyclopentasiloxane	Disodium EDTA	Alpha Arbutin	Retinol	Gluconolactone"
Fine Lines Around Eyes,Combinational,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	Avobenzone	Benzoyl Peroxide	Phenoxyethanol	Gluconolactone	Kojic Acid"
Fine Lines Around Eyes,Combinational,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	Disodium EDTA	Hydroquinone	Caprylic Acid	Sodium Hydroxide	Peptides"
Fine Lines Around Eyes,Combinational,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	Sodium PCA	Vitamin C	Peptides	Panthenol	Kojic Acid"
Fine Lines Around Eyes,Combinational,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	Azelaic Acid	Octinoxate	Peptides	Dimethyl Sulfone	Sodium Hydroxide"
Fine Lines Around Eyes,Combinational,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Retinol	Azelaic Acid	Disodium EDTA	Avobenzone	Ethylhexylglycerin"
Fine Lines Around Eyes,Combinational,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	AHA (Alpha Hydroxy Acid)	Dimethyl Sulfone	BHT (Butylated Hydroxytoluene)	Triethanolamine	BHA (Beta Hydroxy Acid)"
Fine Lines Around Eyes,Dry,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	Tartaric Acid	BHT (Butylated Hydroxytoluene)	Sodium Hydroxide	Avobenzone	Oxybenzone"
Fine Lines Around Eyes,Dry,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	Dimethicone	Avobenzone	Peptides	BHA (Beta Hydroxy Acid)	Retinol"
Fine Lines Around Eyes,Dry,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	Propylene Glycol	BHA (Beta Hydroxy Acid)	Avobenzone	Urea	Ferulic Acid"
Fine Lines Around Eyes,Dry,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	Triethanolamine	Lactic Acid	Hydroquinone	Gluconolactone	Retinol"
Fine Lines Around Eyes,Dry,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	Urea	AHA (Alpha Hydroxy Acid)	BHA (Beta Hydroxy Acid)	Glycolic Acid	Lactic Acid"
Fine Lines Around Eyes,Dry,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Tocopherol	Resveratrol	Retinol	Sodium Hydroxide	Niacinamide"
Fine Lines Around Eyes,Dry,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Oxybenzone	Octinoxate	Gluconolactone	Citric Acid	AHA (Alpha Hydroxy Acid)"
Fine Lines Around Eyes,Oily,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Triethanolamine	Butylene Glycol	Triclosan	Glycolic Acid	BHA (Beta Hydroxy Acid)"
Fine Lines Around Eyes,Oily,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	BHT (Butylated Hydroxytoluene)	Sodium Hydroxide	Kojic Acid	Dimethicone	Octinoxate"
Fine Lines Around Eyes,Oily,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	Propylene Glycol	Gluconolactone	Peptides	Lactic Acid	BHA (Beta Hydroxy Acid)"
Fine Lines Around Eyes,Oily,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Vitamin C	Cyclopentasiloxane	Glycerin	Niacinamide	Gluconolactone"
Fine Lines Around Eyes,Oily,"	Egg White	Honey	Lemon Juice	Oatmeal	Aloe Vera Gel","	Sodium Hydroxide	Azelaic Acid	Glycolic Acid	Sodium PCA	Glycerin"
Fine Lines Around Eyes,Oily,"	Kiwi Pulp	Yogurt	Rice Flour	Honey	Rose Water","	BHA (Beta Hydroxy Acid)	Phenoxyethanol	Oxybenzone	Alpha Arbutin	Tocopherol"
Fine Lines Around Eyes,Oily,"	Apple Pulp	Milk	Honey	Oatmeal	Lemon Juice","	Tocopherol	Resveratrol	Citric Acid	Allantoin	Disodium EDTA"
Face Redness,Normal,"	Gram Flour	Orange Juice	Turmeric	Yogurt	Honey","	Cyclopentasiloxane	Tartaric Acid	Octinoxate	Lactic Acid	Avobenzone"
Face Redness,Normal,"	Mango Pulp	Milk Cream	Honey	Rice Flour	Lemon Juice","	Sodium Hydroxide	Cyclopentasiloxane	Retinol	Vitamin C	Butylene Glycol"
Face Redness,Normal,"	Pomegranate Juice	Honey	Aloe Vera Gel	Milk Cream	Oat Powder","	Tartaric Acid	Citric Acid	Resveratrol	Panthenol	Caprylic Acid"
Face Redness,Normal,"	Watermelon Pulp	Honey	Curd	Rice Flour	Lemon Juice","	Benzoic Acid	Octinoxate	Peptides	Cyclopentasiloxane	Niacinamide"
Face Redness,Normal,"	Beetroot Juice	Gram Flour	Turmeric	Yogurt	Honey","	Triethanolamine	Benzoic Acid	Peptides	Hydroquinone	Urea"
Face Redness,Normal,"	Rose Petal Powder	Yogurt	Honey	Lemon Juice	Aloe Vera","	Sodium Hydroxide	Squalane	Benzoic Acid	Caffeine	Ceramides"
Face Redness,Normal,"	Pear Pulp	Oat Flour	Milk	Honey	Rose Water","	Octinoxate	Glycerin	Niacinamide	Urea	Butylene Glycol"
Face Redness,Sensitive,"	Carrot Juice	Turmeric	Milk Cream	Honey	Oatmeal","	Citric Acid	Sodium Hydroxide	Cyclopentasiloxane	Ceramides	Benzoic Acid"
Face Redness,Sensitive,"	Papaya Pulp	Lemon Juice	Milk	Rice Flour	Honey","	Squalane	Triclosan	Tartaric Acid	Phenoxyethanol	Niacinamide"
Face Redness,Sensitive,"	Tomato Juice	Honey	Multani Mitti	Rose Water	Curd","	Sodium Hydroxide	Benzoic Acid	Licorice Extract	Gluconolactone	Tocopherol"
Face Redness,Sensitive,"	Cucumber Juice	Honey	Aloe Vera	Turmeric	Mint Paste","	Salicylic Acid	Tocopherol	Urea	Azelaic Acid	Zinc Oxide"
Face Redness,Sensitive,"	Potato Paste	Curd	Honey	Milk Powder	Lemon Juice","	Cyclopentasiloxane	Disodium EDTA	Ethylhexylglycerin	Kojic Acid	Titanium Dioxide"
Face Redness,Sensitive,"	Pumpkin Juice	Yogurt	Rice Flour	Honey	Rose Water","	Ceramides	Peptides	Retinol	Resveratrol	Vitamin C"
Face Redness,Sensitive,"	Coconut Milk	Turmeric	Honey	Rose Petal Powder	Curd","	Gluconolactone	Disodium EDTA	Carbomer	Triclosan	Phenoxyethanol"
Face Redness,Combinational,"	Papaya Juice	Multani Mitti	Milk	Turmeric	Honey","	Glycolic Acid	Benzoic Acid	Cyclopentasiloxane	Disodium EDTA	Oxybenzone"
Face Redness,Combinational,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Ceramides	Octinoxate	Citric Acid	Peptides	Alpha Arbutin"
Face Redness,Combinational,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Azelaic Acid	Squalane	Disodium EDTA	Oxybenzone	Alpha Arbutin"
Face Redness,Combinational,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Caprylic Acid	BHA (Beta Hydroxy Acid)	Glycolic Acid	Allantoin	Tocopherol"
Face Redness,Combinational,"	Papaya	Banana	Milk	Honey	Oatmeal","	Tartaric Acid	Caprylic Acid	Sodium PCA	BHA (Beta Hydroxy Acid)	Oxybenzone"
Face Redness,Combinational,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Resveratrol	Dimethyl Sulfone	Triclosan	BHA (Beta Hydroxy Acid)	Titanium Dioxide"
Face Redness,Combinational,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	Carbomer	Sodium PCA	Urea	Propylene Glycol	Kojic Acid"
Face Redness,Dry,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	Tocopherol	Tartaric Acid	BHT (Butylated Hydroxytoluene)	BHA (Beta Hydroxy Acid)	AHA (Alpha Hydroxy Acid)"
Face Redness,Dry,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	Disodium EDTA	Resveratrol	Citric Acid	Gluconolactone	Phenoxyethanol"
Face Redness,Dry,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	Allantoin	Alpha Arbutin	Kojic Acid	Octinoxate	Ceramides"
Face Redness,Dry,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Panthenol	Lactic Acid	Sodium Hydroxide	Propylene Glycol	Tocopherol"
Face Redness,Dry,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	Butylene Glycol	Vitamin C	Glycerin	Phenoxyethanol	Benzoyl Peroxide"
Face Redness,Dry,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	Resveratrol	Niacinamide	Dimethyl Sulfone	Alpha Arbutin	Ferulic Acid"
Face Redness,Dry,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	BHA (Beta Hydroxy Acid)	Gluconolactone	Peptides	Licorice Extract	Niacinamide"
Face Redness,Oily,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	Titanium Dioxide	BHA (Beta Hydroxy Acid)	Hydroquinone	Salicylic Acid	Allantoin"
Face Redness,Oily,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	Lactic Acid	Caffeine	Gluconolactone	Tocopherol	Sodium PCA"
Face Redness,Oily,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	Citric Acid	Niacinamide	Tocopherol	Titanium Dioxide	Salicylic Acid"
Face Redness,Oily,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Dimethicone	Vitamin C	Glycerin	Sodium Hydroxide	Cyclopentasiloxane"
Face Redness,Oily,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Peptides	Ceramides	Glycolic Acid	Resveratrol	Propylene Glycol"
Face Redness,Oily,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Squalane	Ceramides	Dimethyl Sulfone	Glycerin	Propylene Glycol"
Face Redness,Oily,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	BHA (Beta Hydroxy Acid)	Oxybenzone	Hyaluronic Acid	Niacinamide	Salicylic Acid"
Acne,Normal,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	Panthenol	Zinc Oxide	Peptides	Butylene Glycol	Caprylic Acid"
Acne,Normal,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Octinoxate	Phenoxyethanol	Licorice Extract	Benzoyl Peroxide	Disodium EDTA"
Acne,Normal,"	Egg White	Honey	Lemon Juice	Oatmeal	Aloe Vera Gel","	Resveratrol	Sodium PCA	Urea	Benzoyl Peroxide	Lactic Acid"
Acne,Normal,"	Kiwi Pulp	Yogurt	Rice Flour	Honey	Rose Water","	Sodium PCA	Allantoin	Avobenzone	Oxybenzone	AHA (Alpha Hydroxy Acid)"
Acne,Normal,"	Apple Pulp	Milk	Honey	Oatmeal	Lemon Juice","	Retinol	Benzoyl Peroxide	Ethylhexylglycerin	Octinoxate	Carbomer"
Acne,Normal,"	Gram Flour	Orange Juice	Turmeric	Yogurt	Honey","	Salicylic Acid	Avobenzone	Gluconolactone	BHT (Butylated Hydroxytoluene)	Sodium PCA"
Acne,Normal,"	Mango Pulp	Milk Cream	Honey	Rice Flour	Lemon Juice","	Glycerin	Peptides	Resveratrol	Licorice Extract	Hyaluronic Acid"
Acne,Sensitive,"	Pomegranate Juice	Honey	Aloe Vera Gel	Milk Cream	Oat Powder","	Oxybenzone	Hydroquinone	Sodium PCA	BHT (Butylated Hydroxytoluene)	Allantoin"
Acne,Sensitive,"	Watermelon Pulp	Honey	Curd	Rice Flour	Lemon Juice","	Azelaic Acid	Benzoic Acid	Niacinamide	Phenoxyethanol	Tocopherol"
Acne,Sensitive,"	Beetroot Juice	Gram Flour	Turmeric	Yogurt	Honey","	Retinol	Phenoxyethanol	Carbomer	Gluconolactone	Butylene Glycol"
Acne,Sensitive,"	Rose Petal Powder	Yogurt	Honey	Lemon Juice	Aloe Vera","	Salicylic Acid	Citric Acid	Propylene Glycol	Glycolic Acid	Avobenzone"
Acne,Sensitive,"	Pear Pulp	Oat Flour	Milk	Honey	Rose Water","	Citric Acid	Tocopherol	Panthenol	Triclosan	Salicylic Acid"
Acne,Sensitive,"	Carrot Juice	Turmeric	Milk Cream	Honey	Oatmeal","	Hydroquinone	Retinol	Sodium PCA	Caprylic Acid	Benzoic Acid"
Acne,Sensitive,"	Papaya Pulp	Lemon Juice	Milk	Rice Flour	Honey","	Avobenzone	Vitamin C	Disodium EDTA	Triethanolamine	Triclosan"
Acne,Combinational,"	Tomato Juice	Honey	Multani Mitti	Rose Water	Curd","	Dimethyl Sulfone	Cyclopentasiloxane	Ceramides	Glycolic Acid	Hydroquinone"
Acne,Combinational,"	Cucumber Juice	Honey	Aloe Vera	Turmeric	Mint Paste","	Carbomer	Cyclopentasiloxane	Sodium Hydroxide	Azelaic Acid	Disodium EDTA"
Acne,Combinational,"	Potato Paste	Curd	Honey	Milk Powder	Lemon Juice","	Tartaric Acid	AHA (Alpha Hydroxy Acid)	Squalane	Propylene Glycol	Avobenzone"
Acne,Combinational,"	Pumpkin Juice	Yogurt	Rice Flour	Honey	Rose Water","	Azelaic Acid	Ceramides	Retinol	Glycerin	Disodium EDTA"
Acne,Combinational,"	Coconut Milk	Turmeric	Honey	Rose Petal Powder	Curd","	AHA (Alpha Hydroxy Acid)	Glycolic Acid	Resveratrol	Kojic Acid	Dimethicone"
Acne,Combinational,"	Papaya Juice	Multani Mitti	Milk	Turmeric	Honey","	Urea	Gluconolactone	Caffeine	Carbomer	Propylene Glycol"
Acne,Combinational,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Panthenol	Glycolic Acid	Dimethyl Sulfone	Sodium Hydroxide	Kojic Acid"
Acne,Dry,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Resveratrol	Hydroquinone	Disodium EDTA	Lactic Acid	Sodium Hydroxide"
Acne,Dry,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Cyclopentasiloxane	Ferulic Acid	Benzoyl Peroxide	Tocopherol	Licorice Extract"
Acne,Dry,"	Papaya	Banana	Milk	Honey	Oatmeal","	Caffeine	Triclosan	BHA (Beta Hydroxy Acid)	Citric Acid	Cyclopentasiloxane"
Acne,Dry,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Azelaic Acid	Ethylhexylglycerin	Squalane	Tocopherol	Phenoxyethanol"
Acne,Dry,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	Ferulic Acid	Niacinamide	Caprylic Acid	Licorice Extract	Octinoxate"
Acne,Dry,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	Azelaic Acid	Carbomer	Resveratrol	Dimethicone	Vitamin C"
Acne,Dry,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	Niacinamide	Dimethicone	Benzoic Acid	Resveratrol	Urea"
Acne,Oily,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	BHA (Beta Hydroxy Acid)	Octinoxate	Glycerin	Licorice Extract	Alpha Arbutin"
